"Address","Suffix","Street","Side","Site","On Street","X","Y","Latitude","Longitude","Inventory Date","Site ID","Species","DBH","Park Name","Growing Space Type","Multi Stem"
2,"","ABERDEEN RD","Side",0,"CEDAR ST",760717.054631785,2967925.14597748,42.3914873178,-71.1129742565,"10/30/2018",36049,"cherry/plum: spp. (Prunus spp.)",2,"N/A","Well/Pit","No"
2,"","ABERDEEN RD","Side",0,"CEDAR ST",760708.522731399,2967904.5936038,42.3914310282,-71.1130061847,"10/30/2018",36056,"linden: littleleaf (Tilia cordata)",3.6,"N/A","Well/Pit","No"
6,"","ABERDEEN RD","Front",0,"ABERDEEN RD",760665.066277342,2968014.75007429,42.3917338391,-71.1131652006,"11/7/2018",37439,"linden: littleleaf (Tilia cordata)",14.8,"N/A","Well/Pit","No"
9,"","ABERDEEN RD","Front",0,"ABERDEEN RD",760660.520320058,2968058.52578757,42.3918540164,-71.1131812938,"11/7/2018",37464,"linden: littleleaf (Tilia cordata)",13.3,"N/A","Well/Pit","No"
27,"","ABERDEEN RD","Front",0,"ABERDEEN RD",760601.367285584,2968107.34789472,42.3919887205,-71.1133994463,"11/7/2018",37472,"linden: littleleaf (Tilia cordata)",27.3,"N/A","Well/Pit","No"
31,"","ABERDEEN RD","Front",0,"ABERDEEN RD",760612.65975233,2968177.70441345,42.3921816387,-71.1133564633,"11/7/2018",37782,"linden: littleleaf (Tilia cordata)",16.6,"N/A","Well/Pit","No"
3,"","ADAMS ST","Front",1,"ADAMS ST",763951.864526276,2968643.41660301,42.3934173555,-71.1009873365,"12/21/2017",20644,"zelkova: Japanese (Zelkova serrata)",4.1,"N/A","Well/Pit","No"
6,"","ADAMS ST","Side",1,"MEDFORD ST",763887.116663169,2968647.92649238,42.3934305616,-71.1012269467,"12/21/2017",20616,"linden: littleleaf (Tilia cordata)",3.6,"N/A","Well/Pit","No"
6,"","ADAMS ST","Side",2,"MEDFORD ST",763853.527034205,2968703.59630127,42.3935837505,-71.101350328,"12/21/2017",20492,"vacant site: small (vacant site small)",0,"N/A","Well/Pit","No"
7,"","ADAMS ST","Front",1,"ADAMS ST",763961.378676104,2968674.74340753,42.3935031942,-71.1009515738,"12/21/2017",20528,"linden: littleleaf (Tilia cordata)",31.7,"N/A","Well/Pit","No"
13,"","ADAMS ST","Front",1,"ADAMS ST",763976.758890291,2968691.17839779,42.3935480944,-71.1008943535,"12/21/2017",20570,"linden: littleleaf (Tilia cordata)",17.3,"N/A","Well/Pit","No"
15,"","ADAMS ST","Front",1,"ADAMS ST",763998.73924709,2968742.29533476,42.3936880772,-71.1008120993,"12/21/2017",20612,"maple: Norway (Acer platanoides)",9.4,"N/A","Well/Pit","No"
16,"","ADAMS ST","Front",1,"ADAMS ST",763977.807107791,2968776.84840688,42.3937831597,-71.1008889892,"12/21/2017",20576,"mountainash: spp. (Sorbus spp.)",9.6,"N/A","Well/Pit","No"
19,"","ADAMS ST","Front",1,"ADAMS ST",764021.654017901,2968800.15425853,42.3938465479,-71.1007262688,"12/21/2017",20487,"cherry/plum: spp. (Prunus spp.)",4.1,"N/A","Well/Pit","No"
